nome: Arthur Armanelli; total de produtos: 1120; prazo: 09:30; horário de chegada: 08:00; horario de finalização: 08:36:51
nome: TÃºlio Romie; total de produtos: 640; prazo: 14:17; horário de chegada: 10:47; horario de finalização: 10:48:29
nome: TÃºlio Leal; total de produtos: 480; prazo: sem prazo; horário de chegada: 10:50; horario de finalização: 10:51:58
nome: Maria Apolinario; total de produtos: 1200; prazo: sem prazo; horário de chegada: 10:52; horario de finalização: 13:47:58
nome: Matthew Apolinario; total de produtos: 1280; prazo: sem prazo; horário de chegada: 10:52; horario de finalização: 13:59:20
nome: Isabella Guelman; total de produtos: 800; prazo: 11:25; horário de chegada: 10:55; horario de finalização: 10:56:55
nome: Matthew Romie; total de produtos: 1360; prazo: sem prazo; horário de chegada: 10:58; horario de finalização: 14:21:09
nome: VÃ­tor Sousa; total de produtos: 640; prazo: 11:20; horário de chegada: 11:00; horario de finalização: 11:01:30
nome: Amanda Guelman; total de produtos: 160; prazo: sem prazo; horário de chegada: 11:01; horario de finalização: 11:02:03
nome: Bruno Meira; total de produtos: 2160; prazo: sem prazo; horário de chegada: 11:02; horario de finalização: 15:39:59
nome: Maria Sousa; total de produtos: 240; prazo: sem prazo; horário de chegada: 11:04; horario de finalização: 11:05:10
nome: AndrÃ© Lima; total de produtos: 560; prazo: 15:09; horário de chegada: 11:09; horario de finalização: 11:10:18
nome: VÃ­tor Laine; total de produtos: 1200; prazo: sem prazo; horário de chegada: 11:11; horario de finalização: 13:50:43
nome: Amanda Lima; total de produtos: 720; prazo: sem prazo; horário de chegada: 11:16; horario de finalização: 12:44:21
nome: AndrÃ© Guelman; total de produtos: 560; prazo: sem prazo; horário de chegada: 11:16; horario de finalização: 11:18:22
nome: Lucas Armanelli; total de produtos: 1040; prazo: sem prazo; horário de chegada: 11:18; horario de finalização: 13:40:16
nome: Bruno Armanelli; total de produtos: 160; prazo: sem prazo; horário de chegada: 11:21; horario de finalização: 11:21:40
nome: Maria Armanelli; total de produtos: 160; prazo: sem prazo; horário de chegada: 11:23; horario de finalização: 11:23:30
nome: VÃ­tor Bolognani; total de produtos: 1040; prazo: 14:46; horário de chegada: 11:26; horario de finalização: 11:28:27
nome: Isabella Lima; total de produtos: 1440; prazo: sem prazo; horário de chegada: 11:29; horario de finalização: 14:40:24
nome: VÃ­tor Romie; total de produtos: 480; prazo: 14:40; horário de chegada: 11:30; horario de finalização: 11:31:28.500
nome: Ian Armanelli; total de produtos: 160; prazo: 12:11; horário de chegada: 11:31; horario de finalização: 11:31:23
nome: VÃ­tor Carmo; total de produtos: 160; prazo: sem prazo; horário de chegada: 11:35; horario de finalização: 11:35:25
nome: Ian Guelman; total de produtos: 880; prazo: 13:39; horário de chegada: 11:39; horario de finalização: 11:41:06
nome: Bruno Armanelli; total de produtos: 640; prazo: sem prazo; horário de chegada: 11:42; horario de finalização: 11:58:09
nome: VÃ­tor Rocha; total de produtos: 480; prazo: sem prazo; horário de chegada: 11:42; horario de finalização: 11:44:02
nome: VÃ­tor Bolognani; total de produtos: 80; prazo: sem prazo; horário de chegada: 11:45; horario de finalização: 11:45:13.500
nome: AndrÃ© Romie; total de produtos: 2320; prazo: 15:17; horário de chegada: 11:47; horario de finalização: 11:52:22.500
nome: Bruno Armanelli; total de produtos: 640; prazo: sem prazo; horário de chegada: 11:48; horario de finalização: 11:59:59
nome: Bruno Armanelli; total de produtos: 400; prazo: sem prazo; horário de chegada: 11:51; horario de finalização: 11:53:45
nome: Bruno Romie; total de produtos: 160; prazo: sem prazo; horário de chegada: 11:52; horario de finalização: 11:52:50
nome: Matthew Romie; total de produtos: 720; prazo: sem prazo; horário de chegada: 11:55; horario de finalização: 12:46:33
nome: Amanda Romie; total de produtos: 160; prazo: sem prazo; horário de chegada: 11:58; horario de finalização: 11:58:31
nome: Arthur Sousa; total de produtos: 1840; prazo: sem prazo; horário de chegada: 12:00; horario de finalização: 15:30:05
nome: Isabella Meira; total de produtos: 400; prazo: sem prazo; horário de chegada: 12:04; horario de finalização: 12:05:51
nome: Bruno Romie; total de produtos: 560; prazo: 12:46; horário de chegada: 12:06; horario de finalização: 12:07:19
nome: TÃºlio Armanelli; total de produtos: 560; prazo: 13:06; horário de chegada: 12:06; horario de finalização: 12:08:36
nome: Ian Santos; total de produtos: 1360; prazo: sem prazo; horário de chegada: 12:09; horario de finalização: 14:24:16
nome: Mateus Laine; total de produtos: 1440; prazo: sem prazo; horário de chegada: 12:10; horario de finalização: 14:43:42
nome: AndrÃ© Sousa; total de produtos: 640; prazo: 12:33; horário de chegada: 12:13; horario de finalização: 12:14:33.500
nome: VÃ­tor Apolinario; total de produtos: 80; prazo: sem prazo; horário de chegada: 12:16; horario de finalização: 12:16:12.500
nome: Maria Romie; total de produtos: 320; prazo: sem prazo; horário de chegada: 12:18; horario de finalização: 12:20:31
nome: Matthew Lima; total de produtos: 560; prazo: 14:08; horário de chegada: 12:18; horario de finalização: 12:19:30.500
nome: Isabella Bolognani; total de produtos: 720; prazo: sem prazo; horário de chegada: 12:19; horario de finalização: 12:48:12
nome: AndrÃ© Leal; total de produtos: 80; prazo: 12:39; horário de chegada: 12:19; horario de finalização: 12:19:14
nome: Matthew Sousa; total de produtos: 160; prazo: sem prazo; horário de chegada: 12:23; horario de finalização: 12:25:50
nome: Ian Rocha; total de produtos: 1040; prazo: 14:23; horário de chegada: 12:23; horario de finalização: 12:25:28
nome: VÃ­tor Leal; total de produtos: 320; prazo: sem prazo; horário de chegada: 12:28; horario de finalização: 12:28:57
nome: Isabella Bolognani; total de produtos: 880; prazo: 15:03; horário de chegada: 12:33; horario de finalização: 12:35:05.500
nome: Ian Armanelli; total de produtos: 240; prazo: 13:48; horário de chegada: 12:38; horario de finalização: 12:38:34.500
nome: Lucas Guelman; total de produtos: 80; prazo: sem prazo; horário de chegada: 12:41; horario de finalização: 12:41:14
nome: TÃºlio Santos; total de produtos: 320; prazo: sem prazo; horário de chegada: 12:41; horario de finalização: 12:42:20
nome: VÃ­tor Carmo; total de produtos: 160; prazo: sem prazo; horário de chegada: 12:42; horario de finalização: 12:42:42
nome: Isabella Bolognani; total de produtos: 160; prazo: 14:15; horário de chegada: 12:45; horario de finalização: 12:45:27
nome: Isabella Apolinario; total de produtos: 80; prazo: sem prazo; horário de chegada: 12:46; horario de finalização: 12:46:16.500
nome: VÃ­tor Sousa; total de produtos: 80; prazo: sem prazo; horário de chegada: 12:48; horario de finalização: 12:48:23
nome: Mateus Romie; total de produtos: 1360; prazo: sem prazo; horário de chegada: 12:50; horario de finalização: 14:27:23
nome: TÃºlio Bolognani; total de produtos: 720; prazo: 16:03; horário de chegada: 12:53; horario de finalização: 12:54:42.500
nome: Isabella Apolinario; total de produtos: 720; prazo: 14:17; horário de chegada: 12:57; horario de finalização: 12:58:44.500
nome: AndrÃ© Santos; total de produtos: 1360; prazo: sem prazo; horário de chegada: 12:59; horario de finalização: 14:30:30
nome: Ian Carmo; total de produtos: 320; prazo: sem prazo; horário de chegada: 13:01; horario de finalização: 13:01:46
nome: Maria Laine; total de produtos: 320; prazo: sem prazo; horário de chegada: 13:04; horario de finalização: 13:04:47.500
nome: Matthew Armanelli; total de produtos: 560; prazo: sem prazo; horário de chegada: 13:04; horario de finalização: 13:06:04.500
nome: Bruno Meira; total de produtos: 1200; prazo: sem prazo; horário de chegada: 13:04; horario de finalização: 13:53:28
nome: TÃºlio Meira; total de produtos: 2400; prazo: sem prazo; horário de chegada: 13:07; horario de finalização: 16:12:04
nome: Mateus Laine; total de produtos: 160; prazo: 17:10; horário de chegada: 13:10; horario de finalização: 13:10:23
nome: Maria Bolognani; total de produtos: 80; prazo: sem prazo; horário de chegada: 13:14; horario de finalização: 13:14:14
nome: Matthew Romie; total de produtos: 640; prazo: sem prazo; horário de chegada: 13:16; horario de finalização: 13:18:16
nome: Arthur Leal; total de produtos: 160; prazo: sem prazo; horário de chegada: 13:20; horario de finalização: 13:20:22.500
nome: Ian Meira; total de produtos: 240; prazo: sem prazo; horário de chegada: 13:25; horario de finalização: 13:25:36
nome: AndrÃ© Laine; total de produtos: 320; prazo: sem prazo; horário de chegada: 13:28; horario de finalização: 13:29:27
nome: VÃ­tor Apolinario; total de produtos: 400; prazo: sem prazo; horário de chegada: 13:32; horario de finalização: 13:32:56
nome: AndrÃ© Apolinario; total de produtos: 720; prazo: sem prazo; horário de chegada: 13:34; horario de finalização: 13:36:47
nome: Arthur Guelman; total de produtos: 160; prazo: 15:37; horário de chegada: 13:37; horario de finalização: 13:38:09.500
nome: Mateus Carmo; total de produtos: 320; prazo: 15:27; horário de chegada: 13:37; horario de finalização: 13:37:47.500
nome: Bruno Laine; total de produtos: 160; prazo: 16:02; horário de chegada: 13:42; horario de finalização: 13:42:22.500
nome: Amanda Bolognani; total de produtos: 800; prazo: 14:35; horário de chegada: 13:45; horario de finalização: 13:46:52
Tempo de término: 16:12:04
Quantidade de pedidos entregues após o prazo: 0
Quantidade de pedidos entregues antes de meio dia: 205
Média do horário de pedidos entregues: 11:20:07
